Date,Open*,High,Low,Close**,Volume,Market Cap,Estimated TWh per Year,Minimum TWh per Year
2021-11-10,4733.36,4859.5,4485.09,4636.17,22748160545,548414296327,86.93289234,14.44946426
2021-11-09,4810.07,4837.59,4718.04,4735.07,20834172627,560049280556,86.58997501,14.32194914
2021-11-08,4619.65,4822.36,4619.65,4812.09,19290896267,569094330697,86.23874333,14.29601046
2021-11-07,4523.98,4640.92,4510.98,4620.55,13541376033,546381671971,85.73026719,14.32384542
2021-11-06,4482.65,4531.0,4334.97,4521.58,14429076700,534616843813,85.40171458,13.88618447
2021-11-05,4537.42,4570.9,4447.49,4486.24,15086003586,530378899238,85.08068477,14.04433022
2021-11-04,4604.68,4606.52,4426.62,4537.32,18415244464,536356841434,84.75574235,13.45391534
2021-11-03,4589.68,4664.91,4462.98,4607.19,21220463155,544555114009,84.4288,14.03528524
2021-11-02,4322.5,4599.95,4288.69,4584.8,20794448222,541846540463,84.0924208,13.97663048
2021-11-01,4288.22,4377.32,4160.97,4324.63,17985288261,511040780623,83.61464382,13.85548444
2021-10-31,4322.74,4394.45,4179.02,4288.07,17498160238,506663636947,83.31337615,13.57775287
2021-10-30,4414.24,4426.85,4252.49,4325.65,14615490626,511045675623,83.02522244,13.66370368
2021-10-29,4288.69,4455.74,4271.71,4414.75,22967641914,521512615610,82.75794183,13.45998664
2021-10-28,3924.82,4293.15,3905.71,4287.32,25958154575,506402198179,82.49423165,13.50268336
2021-10-27,4132.17,4299.15,3930.26,3930.26,26219530404,464175061361,82.19081255,13.70383949
2021-10-26,4217.34,4289.13,4106.82,4131.1,17157714562,487840182030,81.76618969,13.641882500000001
2021-10-25,4084.43,4236.67,4072.03,4217.88,15995727040,498030801217,81.47516422,13.65737346
2021-10-24,4171.86,4185.73,3967.12,4087.9,14978083638,482628847456,81.19069394,13.31987721
2021-10-23,3971.36,4171.66,3944.63,4171.66,14781537792,492462196227,80.92743625,13.12444319
2021-10-22,4055.69,4162.98,3908.34,3970.18,19432937968,468623912328,80.66470303,13.29168672
2021-10-21,4161.71,4366.09,4032.48,4054.32,28220661820,478500948880,80.38689014,13.16703375
2021-10-20,3877.73,4167.47,3833.29,4155.99,20338319988,490444280909,80.09895348,13.04355336
2021-10-19,3747.16,3883.93,3736.78,3877.65,15998757133,457545764474,79.68661343,12.904107199999999
2021-10-18,3847.73,3888.21,3686.75,3748.76,17386204158,442286890171,79.45173404,12.90402606
2021-10-17,3829.86,3914.9,3660.72,3847.1,15908090346,453838694184,79.17205002,12.83176948
2021-10-16,3865.67,3962.45,3805.89,3830.38,16578095629,451814143160,78.97212314,13.00084855
2021-10-15,3790.15,3895.47,3735.36,3862.63,20966841512,455566504000,78.76134842,12.57569904
2021-10-14,3604.96,3819.26,3590.28,3786.01,19443499909,446474897131,78.54819928,12.87030313
2021-10-13,3492.75,3607.74,3417.6,3606.2,16211275589,425218703480,78.19486469,12.88498891
2021-10-12,3546.48,3546.48,3407.34,3492.57,18109578443,411781081166,77.96458972,
2021-10-11,3419.73,3622.29,3385.76,3545.35,18579189588,417956526087,77.73503099,12.98025329
2021-10-10,3575.02,3603.24,3414.97,3425.85,16171746693,403822590446,77.49982158,12.71672797
2021-10-09,3560.0,3628.24,3544.64,3575.72,12707036942,421440173778,77.26755054,12.68992381
2021-10-08,3587.83,3667.96,3547.83,3563.76,16222029488,419983193014,77.03426715,12.92413374
2021-10-07,3576.81,3650.01,3479.91,3587.97,19090322927,422788897812,76.64410206,12.74634539
2021-10-06,3516.57,3622.55,3354.47,3580.56,21855226591,421867592042,76.40150637,12.77309958
2021-10-05,3381.78,3541.45,3365.82,3518.52,16632591670,414510299768,76.16604927,12.78989252
2021-10-04,3418.78,3434.78,3283.45,3380.09,17747154101,398156802049,75.93572142,12.4731171
2021-10-03,3390.77,3484.61,3348.12,3418.36,15516566862,402619122254,75.73017323,12.42774365
2021-10-02,3308.87,3464.84,3260.03,3391.69,19202671704,399433404741,75.51867905,12.61666068
2021-10-01,3001.13,3329.85,2978.65,3307.52,22307625573,389475327627,75.18430448,12.50762336
2021-09-30,2852.56,3046.52,2840.29,3001.68,17661065099,353421264860,75.00262523,12.24377668
2021-09-29,2809.3,2946.88,2786.99,2853.14,15763456158,335894451616,74.82893621,12.18642444
2021-09-28,2928.96,2970.77,2793.36,2807.3,16895079070,330459005352,74.64151737,12.16146464
2021-09-27,3065.84,3163.67,2932.69,2934.14,19164053681,345350983222,74.40891732,12.27899457
2021-09-26,2926.34,3114.86,2744.58,3062.27,21172766310,360390447457,74.12713227,12.40993193
2021-09-25,2930.88,2968.99,2818.97,2925.57,18932786754,344263323578,73.92891289,12.55676643
2021-09-24,3154.56,3159.64,2747.34,2931.67,25595422789,344941570042,73.60347446,12.24213703
2021-09-23,3077.97,3173.54,3038.1,3155.52,18516291047,371237859101,73.40503753,12.05805162
2021-09-22,2763.21,3089.08,2741.44,3077.87,23742102645,362060838609,73.19010997,12.25788262
2021-09-21,2977.31,3101.7,2676.41,2764.43,30405062665,325153006769,72.99435554,12.428355400000001
2021-09-20,3329.67,3343.33,2940.84,2958.99,27371684581,347997332693,72.79940157,12.3263829
2021-09-19,3433.29,3448.32,3286.17,3329.45,14257609743,391520172702,72.58293779,12.13729043
2021-09-18,3397.42,3540.81,3371.89,3432.02,15995220233,403535591621,72.21279851,12.30770528
2021-09-17,3569.57,3589.31,3356.45,3398.54,17722363229,399552923890,71.98171063,11.90961055
2021-09-16,3613.07,3673.31,3489.81,3571.29,20093903064,419815044704,71.744496,12.10927008
